"series","region","year","age_label","cases","pop","rate"
"North","North",2010,"25-34",0,2176918,0
"North","North",2010,"35-44",1,2312636,0.432407002226031
"North","North",2010,"45-54",3,1629723,1.84080362122888
"North","North",2010,"55-64",2,1040790,1.92161723306335
"North","North",2010,"65-74",3,632709,4.74151624206389
"North","North",2010,"75-89",0,279697,0
"North","North",2010,"90+",0,124236,0
"North","North",2011,"25-34",1,2195704,0.455434794489603
"North","North",2011,"35-44",1,2385737,0.419157685863949
"North","North",2011,"45-54",1,1683120,0.594134702219687
"North","North",2011,"55-64",2,1081205,1.84978796805416
"North","North",2011,"65-74",7,658274,10.6338697867453
"North","North",2011,"75-89",5,289742,17.2567318510951
"North","North",2011,"90+",3,127449,23.5388272956241
"North","North",2012,"25-34",2,2210856,0.904626986108548
"North","North",2012,"35-44",0,2460347,0
"North","North",2012,"45-54",3,1736877,1.72723802549058
"North","North",2012,"55-64",11,1121607,9.80735676578338
"North","North",2012,"65-74",15,685807,21.8720427175576
"North","North",2012,"75-89",16,300638,53.220151810483
"North","North",2012,"90+",3,131259,22.8555756176719
"North","North",2013,"25-34",1,2224026,0.449635031245138
"North","North",2013,"35-44",1,2533930,0.394643893083077
"North","North",2013,"45-54",2,1791736,1.11623587403501
"North","North",2013,"55-64",5,1162419,4.30137497752532
"North","North",2013,"65-74",3,715396,4.19348165211994
"North","North",2013,"75-89",3,312190,9.60953265639514
"North","North",2013,"90+",2,135549,14.7548119130351
"North","North",2014,"25-34",1,2237617,0.44690400546653
"North","North",2014,"35-44",0,2602801,0
"North","North",2014,"45-54",1,1848878,0.540868570019223
"North","North",2014,"55-64",3,1204348,2.49097436953439
"North","North",2014,"65-74",2,747072,2.6771181358691
"North","North",2014,"75-89",0,324128,0
"North","North",2014,"90+",0,140216,0
"North","North",2015,"25-34",0,2253037,0
"North","North",2015,"35-44",1,2664793,0.375263669635878
"North","North",2015,"45-54",1,1909063,0.523817181517844
"North","North",2015,"55-64",2,1247847,1.60276059484857
"North","North",2015,"65-74",3,780788,3.84227216606813
"North","North",2015,"75-89",0,336337,0
"North","North",2015,"90+",1,145182,6.88790621426899
"North","North",2016,"25-34",1,2270449,0.440441516193493
"North","North",2016,"35-44",1,2720226,0.367616514216098
"North","North",2016,"45-54",3,1971962,1.52132749008348
"North","North",2016,"55-64",5,1292828,3.86749049370837
"North","North",2016,"65-74",13,816539,15.9208561991528
"North","North",2016,"75-89",6,348918,17.1960174023696
"North","North",2016,"90+",1,150556,6.64204681314594
"North","North",2017,"25-34",0,2290508,0
"North","North",2017,"35-44",4,2770767,1.44364358316668
"North","North",2017,"45-54",5,2038140,2.45321714896916
"North","North",2017,"55-64",6,1339407,4.47959432793766
"North","North",2017,"65-74",15,854478,17.554577180454
"North","North",2017,"75-89",8,361860,22.1079975681203
"North","North",2017,"90+",1,156442,6.39214533181626
"North","North",2018,"25-34",3,2311423,1.29790176873727
"North","North",2018,"35-44",4,2817761,1.41956681208946
"North","North",2018,"45-54",3,2107803,1.42328291590818
"North","North",2018,"55-64",9,1387285,6.48749175547923
"North","North",2018,"65-74",10,894092,11.1845313457675
"North","North",2018,"75-89",7,375553,18.6391800890953
"North","North",2018,"90+",2,162788,12.2859178809249
"North","North",2019,"25-34",2,2330305,0.858256751798584
"North","North",2019,"35-44",5,2860225,1.74811422178325
"North","North",2019,"45-54",6,2179534,2.75288203808704
"North","North",2019,"55-64",27,1435986,18.802411722677
"North","North",2019,"65-74",35,934382,37.4579133587762
"North","North",2019,"75-89",19,390502,48.6553205873465
"North","North",2019,"90+",4,169539,23.5933914910434
"North","North",2020,"25-34",9,2345234,3.83757015291438
"North","North",2020,"35-44",18,2898400,6.21032293679271
"North","North",2020,"45-54",24,2252493,10.6548610805894
"North","North",2020,"55-64",32,1485261,21.5450348457275
"North","North",2020,"65-74",63,974828,64.6267854431756
"North","North",2020,"75-89",39,407032,95.8155624127833
"North","North",2020,"90+",11,176645,62.2717880494778
"North","North",2021,"25-34",4,2356953,1.69710639117539
"North","North",2021,"35-44",10,2931782,3.41089480732196
"North","North",2021,"45-54",17,2326336,7.30762882060029
"North","North",2021,"55-64",37,1535128,24.102224700481
"North","North",2021,"65-74",94,1015420,92.572531563294
"North","North",2021,"75-89",47,425070,110.570023760792
"North","North",2021,"90+",7,184254,37.9910341159486
"North","North",2022,"25-34",2,2363500,0.846202665538396
"North","North",2022,"35-44",10,2959579,3.378858952574
"North","North",2022,"45-54",16,2401181,6.66338772462384
"North","North",2022,"55-64",25,1585354,15.7693486754378
"North","North",2022,"65-74",33,1056078,31.2476919318459
"North","North",2022,"75-89",19,444553,42.7395608622594
"North","North",2022,"90+",10,192543,51.9364505590959
"North","North",2023,"25-34",11,2366955,4.64732113622777
"North","North",2023,"35-44",11,2983779,3.68660011348025
"North","North",2023,"45-54",33,2474607,13.3354508412851
"North","North",2023,"55-64",66,1636618,40.3270647151626
"North","North",2023,"65-74",115,1097161,104.815975048329
"North","North",2023,"75-89",92,465549,197.616147816879
"North","North",2023,"90+",28,201333,139.073077935559
"North","North",2024,"25-34",7,2366198,2.95833231200432
"North","North",2024,"35-44",13,3008396,4.32123962403886
"North","North",2024,"45-54",44,2543322,17.300208152959
"North","North",2024,"55-64",87,1689949,51.4808435047448
"North","North",2024,"65-74",96,1139357,84.2580508128708
"North","North",2024,"75-89",52,488041,106.548425234765
"North","North",2024,"90+",15,210406,71.2907426594299
"Northeast","Northeast",2010,"25-34",23,9357468,2.45792985880369
"Northeast","Northeast",2010,"35-44",27,8017494,3.36763582236544
"Northeast","Northeast",2010,"45-54",73,6358814,11.4801282125881
"Northeast","Northeast",2010,"55-64",155,4431952,34.9733029599599
"Northeast","Northeast",2010,"65-74",244,2954255,82.5927348857834
"Northeast","Northeast",2010,"75-89",224,1696014,132.074381461474
"Northeast","Northeast",2010,"90+",75,790598,94.8648997341253
"Northeast","Northeast",2011,"25-34",25,9349042,2.67407077644961
"Northeast","Northeast",2011,"35-44",48,8195006,5.85722572991405
"Northeast","Northeast",2011,"45-54",78,6482984,12.031496607118
"Northeast","Northeast",2011,"55-64",187,4565007,40.9637926075469
"Northeast","Northeast",2011,"65-74",209,3035058,68.8619459661067
"Northeast","Northeast",2011,"75-89",163,1741473,93.5989245885523
"Northeast","Northeast",2011,"90+",46,796800,57.7309236947791
"Northeast","Northeast",2012,"25-34",15,9325443,1.60850267381399
"Northeast","Northeast",2012,"35-44",34,8380976,4.05680674899916
"Northeast","Northeast",2012,"45-54",85,6592815,12.892823475253
"Northeast","Northeast",2012,"55-64",146,4707941,31.0114336607022
"Northeast","Northeast",2012,"65-74",245,3120215,78.5202301764462
"Northeast","Northeast",2012,"75-89",207,1788325,115.750772370794
"Northeast","Northeast",2012,"90+",69,804340,85.7846184449362
"Northeast","Northeast",2013,"25-34",34,9292762,3.65876151783506
"Northeast","Northeast",2013,"35-44",46,8566565,5.36971353161973
"Northeast","Northeast",2013,"45-54",94,6695578,14.0391165632004
"Northeast","Northeast",2013,"55-64",151,4858520,31.0794233634934
"Northeast","Northeast",2013,"65-74",277,3208635,86.3295451180954
"Northeast","Northeast",2013,"75-89",198,1836596,107.808140712492
"Northeast","Northeast",2013,"90+",57,814255,70.0026404504731
"Northeast","Northeast",2014,"25-34",32,9260484,3.45554292842577
"Northeast","Northeast",2014,"35-44",50,8738602,5.72173901500492
"Northeast","Northeast",2014,"45-54",101,6802589,14.8472882897967
"Northeast","Northeast",2014,"55-64",188,5013238,37.5007131119648
"Northeast","Northeast",2014,"65-74",276,3298724,83.6687155397057
"Northeast","Northeast",2014,"75-89",235,1886823,124.547983568146
"Northeast","Northeast",2014,"90+",69,828499,83.2831421643237
"Northeast","Northeast",2015,"25-34",20,9234020,2.16590390750724
"Northeast","Northeast",2015,"35-44",45,8888264,5.06285591877109
"Northeast","Northeast",2015,"45-54",81,6921338,11.7029395183417
"Northeast","Northeast",2015,"55-64",154,5169444,29.790437811107
"Northeast","Northeast",2015,"65-74",238,3389888,70.208809258595
"Northeast","Northeast",2015,"75-89",244,1939703,125.792453793184
"Northeast","Northeast",2015,"90+",61,847708,71.9587405097038
"Northeast","Northeast",2016,"25-34",20,9215897,2.17016314309936
"Northeast","Northeast",2016,"35-44",43,9015005,4.76982541884336
"Northeast","Northeast",2016,"45-54",91,7049259,12.909158253371
"Northeast","Northeast",2016,"55-64",199,5327362,37.3543228337027
"Northeast","Northeast",2016,"65-74",270,3482367,77.5334707685893
"Northeast","Northeast",2016,"75-89",218,1995162,109.264310366777
"Northeast","Northeast",2016,"90+",67,871880,76.84543744552
"Northeast","Northeast",2017,"25-34",26,9210800,2.82277326616581
"Northeast","Northeast",2017,"35-44",53,9117104,5.81324947044588
"Northeast","Northeast",2017,"45-54",135,7184425,18.7906478249825
"Northeast","Northeast",2017,"55-64",196,5487894,35.7149755443527
